CVE-2021-22400||部分华为智能手机由于缺乏参数验证，存在输入验证不足的漏洞。攻击者可能欺骗用户安装一个恶意的APP。该应用程序可以修改特定参数，导致系统崩溃。Affected product include:OxfordS-AN00A 10.0.1.10(C00E10R1P1),10.0.1.105(C00E103R3P3),10.0.1.115(C00E110R3P3),10.0.1.123(C00E121R3P3),10.0.1.135(C00E130R3P3),10.0.1.135(C00E130R4P1),10.0.1.152(C00E140R4P1),10.0.1.160(C00E160R4P1),10.0.1.167(C00E166R4P1),10.0.1.173(C00E172R5P1),10.0.1.178(C00E175R5P1) and 10.1.0.202(C00E79R5P1).
CVE-2021-22873||Revive Adserver在5.1.0之前容易通过lg.php和ck.php交付脚本的`dest`、`oadest`和/或`ct0`参数发生开放重定向。这种开放的重定向以前在设计上是可用的，以允许第三方广告服务器在发送广告时跟踪这些指标。然而，通过重定向的第三方点击跟踪不再是一个可行的选择，导致这种开放重定向功能被删除并重新归类为一个漏洞。
CVE-2021-22874||Revive Adserver 5.1.1之前的用户日志-index.php中存在通过`period_preset`参数反射的XSS漏洞。
CVE-2021-22875||Revive Adserver 5.1.1之前的版本在stats.php通过`setPerPage`参数存在反射式XSS漏洞。
CVE-2021-22876||curl 7.1.1到7.75.0（包括7.75.0）在HTTP Referer: header中泄露凭据，容易导致 "个人隐私信息暴露给未经授权的行为者"。libcurl在自动填充出站HTTP请求中的Referer: HTTP请求头字段时，没有从URL中剥离用户凭据，因此有可能将敏感数据泄露给作为第二个HTTP请求目标的服务器。
CVE-2021-22877||20.0.6之前的Nextcloud中缺少用户检查，在尚未配置的情况下，无意中为其他用户的外部存储配置填充了用户自己的凭证。
CVE-2021-22878||20.0.6之前的Nextcloud服务器由于缺乏`OC.Notification.show`中的消毒措施，容易受到反射式跨站脚本（XSS）的攻击。
CVE-2021-22879|Nextcloud Desktop Client（3.1.3之前）由于缺少对URL的验证，容易受到资源注入的影响，从而使恶意的服务器能够执行远程命令。利用时需要用户互动。
CVE-2021-2288--Oracle电子商务套件的Oracle物料清单产品中存在漏洞（组件：清单问题）。受影响的支持版本为12.1.1-12.1.3。容易被利用的漏洞允许有网络访问权的低权限攻击者通过HTTP来破坏Oracle物料清单。对该漏洞的成功攻击可导致对关键数据或所有Oracle物料清单可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle物料清单可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22880||Active Record 6.1.2.1, 6.0.3.5, 5.2.4.5之前的PostgreSQL适配器存在正则表达式拒绝服务（REDoS）的漏洞。精心制作的输入会导致Active Record中PostgreSQL适配器的`money`类型的输入验证在正则表达式中花费太多时间，从而有可能导致DoS攻击。这只影响到使用PostgreSQL和接受用户输入的货币类型列的Rails应用程序。
CVE-2021-22881||6.1.2.1、6.0.3.5之前的Action Pack中的主机授权中间件存在一个开放重定向漏洞。特别制作的 "Host "头与某些 "允许的主机 "格式相结合，可导致Action Pack中的主机授权中间件将用户重定向到一个恶意网站。受影响的应用程序的允许主机会有一个领先的点。当允许的主机包含一个前导点时，特制的 "主机 "头可被用来重定向到一个恶意的网站。
CVE-2021-22882||UniFi Protect v1.17.1之前允许攻击者使用欺骗的相机进行拒绝服务攻击，可能导致UniFi Protect控制器崩溃。
CVE-2021-22883||10.24.0、12.21.0、14.16.0和15.10.0之前的Node.js在建立过多的 "未知协议 "连接尝试时，容易受到拒绝服务攻击。这导致了文件描述符的泄漏。如果在系统中配置了文件描述符限制，那么服务器就无法接受新的连接，并防止进程也打开，例如文件。如果没有配置文件描述符限制，则会导致内存过度使用，并导致系统内存耗尽。
CVE-2021-22884||10.24.0、12.21.0、14.16.0和15.10.0之前的Node.js容易受到DNS重定向攻击，因为白名单包括 "localhost6"。当 "localhost6 "不存在于/etc/hosts中时，它只是一个通过DNS解析的普通域，也就是通过网络。如果攻击者控制了受害者的DNS服务器，或者可以欺骗它的响应，就可以通过使用 "localhost6 "域名绕过DNS重新绑定保护。只要攻击者使用 "localhost6 "域名，他们仍然可以应用CVE-2018-7160中描述的攻击。
CVE-2021-22885||在Action Pack >= 2.0.0中，当使用`redirect_to`或`polymorphic_url`helper与不受信任的用户输入时，可能存在信息泄露/非预期的方法执行漏洞。
CVE-2021-22886||Rocket.Chat在3.11、3.10.5、3.9.7、3.8.8之前存在使用嵌套标记的持续跨站脚本（XSS）漏洞，允许远程攻击者在消息中注入任意JavaScript。此漏洞导致Rocket.Chat桌面应用程序的任意文件读取和RCE。
CVE-2021-22887|||脉冲安全（PSA系列硬件）型号PSA5000和PSA7000的BIOS存在漏洞，允许攻击者破坏BIOS固件。这个漏洞只能作为攻击链的一部分被利用。攻击者在破坏BIOS之前，必须利用该设备。
CVE-2021-22888||Revive Adserver v5.2.0之前的版本在campaign-zone-zone.php的`status`参数中存在反射式XSS漏洞。攻击者可以欺骗有权限进入Revive Adserver实例用户界面的用户，使其点击特别制作的URL并执行注入的JavaScript代码。
CVE-2021-22889||Revive Adserver在v5.2.0之前，由于单引号未被转义，在stats.php的`statsBreakdown`参数（可能还有其他脚本）中存在反射式XSS漏洞。攻击者可以欺骗有权限进入Revive Adserver实例用户界面的用户，使其点击一个特别制作的URL并按下特定的组合键来执行注入的JavaScript代码。
Oracle电子商务套件中的Oracle Product Hub产品（组件：模板，GTIN搜索）存在漏洞。受影响的支持版本是12.1.1-12.1.3和12.2.3-12.2.10。容易被利用的漏洞允许具有网络访问权限的低权限攻击者通过HTTP来破坏Oracle产品中心。对该漏洞的成功攻击可导致对关键数据或所有Oracle Product Hub可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle Product Hub可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22890||curl 7.63.0 to and including 7.75.0包含漏洞，由于TLS 1.3会话票据处理不当，允许恶意HTTPS代理对连接进行MITM。当使用HTTPS代理和TLS 1.3时，libcurl可以混淆来自HTTPS代理的会话票据，但工作起来就像它们来自远程服务器，然后错误地 "缩短 "主机握手过程。当混淆票据时，HTTPS代理可以欺骗libcurl为主机使用错误的会话票据简历，从而规避服务器TLS证书检查，使MITM攻击有可能在不知不觉中进行。请注意，这样的恶意HTTPS代理需要提供一个curl接受的MITMed服务器的证书，这样的攻击才能奏效--除非curl被告知忽略服务器证书检查。
CVE-2021-22891||Citrix ShareFile Storage Zones Controller 在 5.7.3、5.8.3、5.9.3、5.10.1 和 5.11.18 之前存在缺少授权的漏洞，可能允许未经认证的远程控制存储区控制器。
CVE-2021-22892||Rocket.Chat server fixed v3.13, v3.12.2 & v3.11.3中存在信息披露漏洞，允许通过枚举和验证检查披露电子邮件地址。
CVE-2021-22893||Pulse Connect Secure 9.0R3/9.1R1及以上版本存在Pulse Connect Secure的Windows文件共享浏览器和Pulse Secure协作功能暴露的认证绕过漏洞，可允许未认证的用户在Pulse Connect Secure网关上执行远程任意代码。该漏洞已在野外被利用。
CVE-2021-22894||9.1R11.4之前的Pulse Connect Secure存在缓冲区溢出漏洞，允许远程认证的攻击者通过恶意制作的会议室以根用户身份执行任意代码。
CVE-2021-22895||3.3.1之前的Nextcloud Desktop Client在使用 "向供应商注册 "流程时，由于缺乏SSL证书验证，存在不适当的证书验证漏洞。
CVE-2021-22896||Nextcloud Mail（1.9.5之前）由于缺少权限检查，允许其他认证用户为其他用户创建邮件别名，因而存在不当的访问控制。
CVE-2021-22897||curl 7.61.0至7.76.1由于libcurl被构建为使用Schannel TLS库时，CURLOPT_SSL_CIPHER_LIST的代码中存在错误，导致数据元素暴露于错误的会话。选择的密码集被存储在库中的一个 "静态 "变量中，这有一个令人惊讶的副作用，即如果一个应用程序设置了多个并发传输，最后一个设置密码的应用程序将意外地控制所有传输使用的密码集。在最坏的情况下，这大大削弱了传输安全。
CVE-2021-22898||curl 7.7至7.76.1在libcurl中被称为`CURLOPT_TELNETOPTIONS`的`-t`命令行选项被用于向TELNET服务器发送变量=内容对时，存在信息泄露。由于发送NEW_ENV变量的选项解析器存在缺陷，可以使libcurl从基于堆栈的缓冲区向服务器传递未初始化的数据，导致可能使用明文网络协议将敏感的内部信息透露给服务器。
CVE-2021-22899||9.1R11.4之前的Pulse Connect Secure存在一个命令注入漏洞，允许远程认证的攻击者通过Windows资源配置文件功能执行远程代码。
CVE-2021-2290||Oracle电子商务套件的Oracle工程产品中存在漏洞（组件：变更管理）。受影响的支持版本是12.1.1-12.1.3和12.2.3-12.2.10。容易被利用的漏洞允许具有网络访问权限的低权限攻击者通过HTTP来破坏Oracle工程。对该漏洞的成功攻击可导致对关键数据或所有Oracle工程公司可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle工程公司可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22900||||9.1R11.4之前的Pulse Connect Secure中的一个漏洞允许多个不受限制的上传，这可能导致认证的管理员通过管理员网络界面中恶意制作的档案上传执行文件写入。
CVE-2021-22901||curl 7.75.0至7.76.1存在 "使用后自由 "漏洞，导致当TLS 1.3会话票据通过连接到达时已释放的内存被使用。恶意的服务器可以在极少数不幸的情况下使用这个漏洞，从而有可能在客户端达到远程代码执行。当libcurl在运行时使用OpenSSL在连接上设置对TLS 1.3会话票据的支持时，它在内存对象中存储指向传输的指针，以便在会话票据到达时进行检索。如果连接被多个传输使用（如重复使用的HTTP/1.1连接或复用的HTTP/2连接），在该连接上建立新的会话之前，第一个传输对象可能被释放，然后该函数将访问一个可能被释放的内存缓冲区。当使用该内存时，libcurl甚至可能调用对象中的一个函数指针，如果服务器能够以某种方式设法将精心制作的内存内容放入内存中的正确位置，就有可能实现远程代码执行。
CVE-2021-22902||6.0.3.7、6.1.3.2之前的actionpack ruby gem（Rails中处理和响应网络请求的框架）在Action Dispatch的Mime类型解析器中存在一个可能的拒绝服务漏洞。仔细制作的Accept头可以导致Action Dispatch的Mime类型分析器在正则表达式引擎中进行灾难性的回溯。
CVE-2021-22903||6.1.3.2之前的actionpack ruby gem存在一个可能的开放重定向漏洞。特别制作的Host头与某些 "允许的主机 "格式相结合，可导致Action Pack中的Host授权中间件将用户重定向到一个恶意网站。这与CVE-2021-22881相似。config.hosts中没有前导点的字符串被转换为正则表达式，没有适当的转义。这导致，例如，`config.hosts << "sub.example.com"`允许一个主机头值为`sub-example.com`的请求。
CVE-2021-22904||6.1.3.2, 6.0.3.7, 5.2.4.6, 5.2.6之前的actionpack ruby gem由于正则表达式过于宽松，在Action Controller的Token Authentication逻辑中可能存在拒绝服务漏洞。受影响的代码使用`authenticate_or_request_with_http_token`或`authenticate_with_http_token`进行请求认证。
CVE-2021-22905||Nextcloud Android 应用程序 (com.nextcloud.client) 在 v3.16.0 之前容易受到信息泄露的影响，因为搜索共享者时默认在查找服务器上进行，而不是只使用本地 Nextcloud 服务器，除非用户明确选择了全局搜索。
CVE-2021-22906||Nextcloud End-to-End Encryption before 1.5.3, 1.6.3 and 1.7.1 has suffered from a denial of service vulnerability due to allow any authenticated users to lock files of other users.
CVE-2021-22907||Citrix Workspace App for Windows 中存在不当的访问控制漏洞，可能允许在 2105 之前的 CR 版本和 CU4 之前的 1912 LTSR 中进行权限升级。
CVE-2021-22908||9.X 中的 Windows 文件资源配置文件存在缓冲区溢出漏洞，允许具有浏览 SMB 共享权限的远程认证用户作为根用户执行任意代码。从 9.1R3 版起，默认情况下未启用此权限。
CVE-2021-22909||在EdgeMAX EdgeRouter V2.0.9和更早版本中发现的一个漏洞可能允许恶意行为者在固件更新期间执行中间人（MitM）攻击。该漏洞在EdgeMAX EdgeRouter V2.0.9-hotfix.1及以后版本中得到修复。
CVE-2021-2291||Oracle Virtualization的Oracle VM VirtualBox产品（组件：Core）中存在漏洞。受影响的支持版本为6.1.20之前。难以利用的漏洞允许低权限的攻击者在登录到Oracle VM VirtualBox执行的基础设施后，破坏Oracle VM VirtualBox。成功攻击该漏洞可导致未经授权访问关键数据或完全访问所有 Oracle VM VirtualBox 可访问数据。CVSS 3.1基本得分4.7（保密性影响）。CVSS Vector: (CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N) 。
CVE-2021-22910||Rocket.Chat服务器版本<3.13.2, <3.12.4, <3.11.4>中存在一个消毒漏洞，允许向一个端点查询，这可能导致NoSQL注入，可能导致RCE。
CVE-2021-22911||Rocket.Chat server 3.11, 3.12 & 3.13中存在不当的输入净化漏洞，可能导致未经授权的NoSQL注入，可能导致RCE。
CVE-2021-22912||Nextcloud iOS 3.4.2之前存在信息泄露漏洞，当搜索共享者时，默认使用查找服务器，而不是只在本地Nextcloud服务器上搜索，除非用户明确选择了全局搜索。
CVE-2021-22913||Nextcloud Deck 1.2.7, 1.4.1之前，当搜索共享者时，除非用户明确选择了全局搜索，否则会默认利用查找服务器而不是仅在本地Nextcloud服务器上搜索，从而存在信息泄露的漏洞。
CVE-2021-22914||6.31.0.62192之前的Citrix Cloud Connector存在敏感信息存储不安全的问题，原因是敏感信息被存储在Citrix Cloud Connector安装日志文件中。这些信息可被恶意行为者用来访问Citrix云环境。这个问题影响到所有通过命令行传递安全客户端参数进行安装的Citrix Cloud Connector版本。如果使用交互式安装程序或在命令行安装程序中使用参数文件进行安装，则该问题不影响Citrix Cloud Connector。
CVE-2021-22915||Nextcloud服务器在19.0.11、20.0.10、21.0.2之前容易受到暴力攻击，原因是在速率限制的考虑中没有包含IPv6子网。这有可能导致攻击者绕过速率限制控制，如Nextcloud的暴力攻击保护。
CVE-2021-22916||在Brave Desktop 1.17和1.26.60版本之间，当启用广告屏蔽并安装了代理浏览器扩展时，CNAME广告屏蔽功能发出的DNS请求使用系统DNS设置而不是扩展的代理设置，导致可能的信息泄露。
CVE-2021-22917||版本1.17和1.20之间的Brave Browser Desktop存在漏洞，如果启用广告屏蔽，Tor窗口中的DNS请求不会流经Tor，从而导致信息泄露。
CVE-2021-22918||16.4.1, 14.17.2, 12.22.2之前的Node.js在uv__idna_toascii()用于将字符串转换为ASCII时，存在越界读取漏洞。指针p被读取并增加，而没有检查它是否超出pe，后者持有一个指向缓冲区末端的指针。这可能导致信息泄露或崩溃。该函数可通过uv_getaddrinfo()触发。
CVE-2021-22919||在Citrix ADC（以前称为NetScaler ADC）和Citrix Gateway（以前称为NetScaler Gateway），以及Citrix SD-WAN WANOP Edition 4000-WO、4100-WO、5000-WO和5100-WO型号中发现一个漏洞。这些漏洞，如果被利用，可能导致设备上有限的可用磁盘空间被完全消耗。
CVE-2021-2292||在Oracle电子商务套件的Oracle文档管理和协作产品（组件：文档管理）存在漏洞。受影响的支持版本为12.1.1-12.1.3和12.2.3-12.2.10。容易被利用的漏洞允许具有网络访问权限的低权限攻击者通过HTTP入侵Oracle文档管理和协作。对该漏洞的成功攻击可导致对关键数据或所有Oracle文档管理和协作系统可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle文档管理和协作系统可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22920||在Citrix ADC（以前称为NetScaler ADC）和Citrix Gateway（以前称为NetScaler Gateway）以及Citrix SD-WAN WANOP Edition 4000-WO、4100-WO、5000-WO和5100-WO型号中发现一个漏洞。这些漏洞如果被利用，可能导致通过SAML认证劫持来窃取有效用户会话的网络钓鱼攻击。
