CVE-2019-19220||BMC Control-M/Agent 7.0.00.000允许操作系统命令注入（问题2）。
CVE-2019-19578||在Xen的4.12.x版本中发现一个问题，允许x86 PV客户操作系统用户通过线性pagetables的退化链导致拒绝服务，因为CVE-2017-15595的修复不正确。"线性分页表 "是一种技术，包括将分页表指向自身，或指向相同或更高层次的另一个分页表。Xen对线性分页表的支持有限。一个页面可以指向它自己，或者指向同一级别的另一个页表（即L2到L2，L3到L3，以此类推）。XSA-240引入了一个额外的限制，通过允许页面*指向*同级别的其他页面，或者*被同级别的其他页面指向*，来限制这种链的 "深度"，但不能同时进行。为了实现这一点，我们跟踪一个页面指向或被指向另一个页面表的未完成次数，以防止两者同时发生。不幸的是，在恢复对部分验证过的页表的验证时，引入这个的原始提交重置了这个计数，错误地丢掉了一些 "线性_pt_entry "计数。如果攻击者可以设计这种情况的发生，他们可能会使循环或其他任意的线性分页表链，如XSA-240中所述。恶意的或有缺陷的PV客体可能会导致管理程序崩溃，导致影响整个主机的拒绝服务（DoS）。不能排除特权升级和信息泄露的可能性。所有版本的Xen都存在漏洞。只有x86系统受到影响。Arm系统不受影响。只有 x86 PV 客体可以利用该漏洞。x86 HVM 和 PVH 客体不能利用该漏洞。只有启用了线性分页的系统才有漏洞。通过在构建管理程序时选择 CONFIG_PV_LINEAR_PT=n 或在命令行上添加 pv-linear-pt=false 来禁用线性分页的系统不存在漏洞。
CVE-2019-19579||在Xen的4.12.x版本中发现了一个问题，允许攻击者在不受信任的域访问物理设备（且未使用assignable-add）的情况下通过DMA获得主机操作系统的权限，因为CVE-2019-18424的修复不完整。XSA-302依赖于使用libxl的 "assignable-add "功能来准备将设备分配给不受信任的客人。不幸的是，这不被认为是设备分配的严格要求的步骤。wiki上的PCI直通车文档描述了准备设备分配的其他方法，libvirt也使用自己的方法。使用这些 "替代 "方法的主机，在设备从访客那里回来后，仍然会使系统处于脆弱状态。一个对物理设备有访问权的不受信任的域可以DMA进入主机内存，导致权限升级。只有访客被赋予直接访问能够进行DMA的物理设备（PCI直通）的系统才是脆弱的。不使用PCI直通的系统不存在漏洞。
CVE-2019-1958||思科HyperFlex软件基于Web的管理界面中的一个漏洞可能允许未经认证的远程攻击者对受影响的系统进行跨站点请求伪造（CSRF）攻击。该漏洞是由于受影响设备上的网络用户界面的CSRF保护措施不足。攻击者可以通过说服界面的用户遵循一个恶意链接来利用这个漏洞。成功利用后，攻击者可以用受影响用户的权限级别执行任意操作。
CVE-2019-19580||在Xen的4.12.x版本中发现一个问题，允许x86 PV客户操作系统用户通过利用pagetable晋升和降级操作中的竞赛条件获得主机操作系统的特权，因为CVE-2019-18421的修复不完整。XSA-299解决了可重启PV类型变更操作中的几个关键问题。尽管进行了广泛的测试和审计，但还是遗漏了一些角落案例。恶意的PV访客管理员可能会将他们的权限提升到主机的权限。所有安全支持的Xen版本都存在漏洞。只有x86系统受到影响。Arm系统不受影响。只有x86 PV客体可以利用该漏洞，x86 HVM和PVH客体不能利用该漏洞。请注意，这些攻击需要非常精确的时间，这在实践中可能很难利用。
CVE-2019-19581||Xen中发现一个问题，通过4.12.x允许32位Arm客体操作系统用户导致拒绝服务（越界访问），因为某些位迭代处理不当。在许多地方，位图被管理程序用来跟踪某些状态。对所有位的迭代涉及到一些函数，这些函数在某些角落的情况下可能会有错误行为。在32位Arm访问位图时，位数是32的倍数，可能会发生越界访问。恶意访客可能导致管理程序崩溃或挂起，从而导致拒绝服务（DoS）。所有版本的Xen都存在漏洞。32位Arm系统存在漏洞。64位Arm系统不存在漏洞。
CVE-2019-19582||在Xen的4.12.x版本中发现一个问题，允许x86客户操作系统用户导致拒绝服务（无限循环），因为某些比特迭代处理不当。在许多地方，位图被管理程序用来跟踪某些状态。对所有位的迭代涉及到一些函数，这些函数在某些角落里可能会有错误行为。在x86上，对编译时已知大小为64的位图的访问可能会产生未定义的行为，特别是可能导致无限循环。恶意的客户可能导致管理程序崩溃或挂起，导致拒绝服务（DoS）。所有版本的Xen都存在漏洞。拥有64个或更多节点的x86系统存在漏洞（可能没有任何这样的系统可以运行Xen）。少于64个节点的x86系统没有漏洞。
CVE-2019-19583||在Xen中发现一个问题，通过4.12.x允许x86 HVM/PVH客户操作系统用户导致拒绝服务（客户操作系统崩溃），因为VMX VMEntry检查错误处理了某种情况。请参阅XSA-260了解MovSS阴影的背景。关于#DB拦截的必要性的背景，请参见XSA-156。VMX VMEntry检查不喜欢#DB被拦截、Single Stepping被激活、STI/MovSS封锁被激活时的确切状态组合，尽管这是一个合法的状态。由此产生的VMEntry失败对客户来说是致命的。HVM/PVH客户用户空间代码可能会使客户崩溃，导致客户拒绝服务。所有版本的Xen都受到影响。只有支持VMX硬件虚拟扩展的系统（Intel、Cyrix或Zhaoxin CPU）受到影响。Arm和AMD系统不受影响。只有HVM/PVH客体受到影响。PV客体不能利用该漏洞。
CVE-2019-19585||在rConfig 3.9.3中发现一个问题。安装脚本为rconfig特定任务更新了/etc/sudoers文件。在 "rConfig特定的Apache配置 "更新后，apache对一些二进制文件具有高权限。攻击者可以利用这一点，绕过本地安全限制。
CVE-2019-19587|||在WSO2 Enterprise Integrator 6.5.0中，从管理控制台的源视图中更新消息处理器配置时发生反射式XSS。
CVE-2019-19588||Python的validators包0.12.2至0.12.5在用精心制作的域字符串调用validators.domain时进入无限循环。该问题已在0.12.6版本中修复。
CVE-2019-19589||***争议 ** WordPress的Lever PDF Embedder插件4.4没有阻止分发有效的JAR档案的polyglot PDF文档。注：有人认为，"PDF Embedder插件报告的漏洞是无效的，因为该插件本身并不控制或管理文件上传过程。它只为上传的PDF文件提供服务，上传PDF文件的责任仍由Wordpress安装的网站所有者承担，PDF文件的上传是由Wordpress核心管理，而不是由PDF Embedder插件管理。聚合文件的控制和阻止需要在上传时进行处理，而不是在显示文件时。此外，参考资料提到从浏览器缓存中检索文件，并手动将其重命名为jar以执行该文件。这指的是两个不相关的步骤，与PDF Embedder无关。"
CVE-2019-1959||思科企业NFV基础设施软件（NFVIS）中的多个漏洞可能允许经过验证的本地攻击者在受影响设备的底层操作系统（OS）上读取任意文件。有关这些漏洞的更多信息，请参阅本公告的细节部分。
CVE-2019-19590||在radare2到4.0版本中，libr/asm/asm.c的函数r_asm_massemble中的变量new_token_size存在整数溢出，这种整数溢出将导致缓冲区令牌的Use-After-Free，在Free之后可以填充任意的恶意数据。这使得远程攻击者可以通过精心制作的输入造成拒绝服务（应用程序崩溃）或可能执行任意代码。
CVE-2019-19592||Jama Connect 8.44.0易受存储跨站脚本攻击的影响
CVE-2019-19594||reset/modules/fotoliaFoto/multi_upload.php在RESET.PRO Adobe Stock API Integration for PrestaShop 1.6和1.7中允许远程攻击者通过上传.php文件执行任意代码。
CVE-2019-19595||reset/modules/advanced_form_maker_edit/multiupload/upload.php in the RESET.PRO Adobe Stock API integration 4.8 for PrestaShop允许远程攻击者通过上传.php文件执行任意代码。
CVE-2019-19596||GitBook到2.6.9允许通过本地.md文件进行XSS。
CVE-2019-19597||D-Link DAP-1860设备在v1.04b03 Beta之前允许通过HNAP_AUTH HTTP头内的shell元字符以root身份执行任意远程代码，无需认证。
CVE-2019-19598||D-Link DAP-1860设备在v1.04b03 Beta版之前允许通过HNAP_AUTH头的时间戳值在没有认证的情况下访问管理员功能。在HTTP请求中，HNAP_AUTH头的一部分是用来确定用户发送请求的时间的时间戳。如果这个值等于存储在设备的/var/hnap/timestamp文件中的值，请求将通过HNAP_AUTH检查功能。
CVE-2019-1960||思科企业NFV基础设施软件（NFVIS）中的多个漏洞可能允许经过验证的本地攻击者在受影响设备的底层操作系统（OS）上读取任意文件。有关这些漏洞的更多信息，请参阅本公告的细节部分。
CVE-2019-19601||OpenDetex 2.8.5在detex.l的TexOpen中由于不正确的sprintf，存在缓冲区溢出。
CVE-2019-19602||fpregs_state_valid在Linux内核5.4之前的arch/x86/include/asm/fpu/internal.h。2，当使用GCC 9时，由于不正确的fpu_fpregs_owner_ctx缓存，允许上下文依赖的攻击者导致拒绝服务（内存损坏）或可能产生未指定的其他影响，如在amd64上的Go 1.14 prereleases中错误处理基于信号的非合作性抢占，又称CID-59c4bd853abc。
CVE-2019-19603||SQLite 3.30.1错误地处理了某些带有不存在的VIEW的SELECT语句，导致应用程序崩溃。
CVE-2019-19604||在2.20.2之前的Git、2.21.x之前的2.21.1、2.22.x之前的2.22.2、2.23.x之前的2.23.1以及2.24.x之前的2.24.1中，由于 "git submodule update "操作可以运行在恶意仓库的.gitmodules文件中发现的命令，因此可能存在任意指令执行。
CVE-2019-19605||11.41之前的X-Plane允许通过制作的网络数据包任意写入内存，这可能导致拒绝服务或任意代码执行。
CVE-2019-19606||11.41之前的X-Plane有多个不当的路径验证，可能允许通过精心制作的网络数据包从/向任意路径读写文件（或向远程系统泄露操作系统凭证）。这可能被用来在系统上执行任意命令。
CVE-2019-19607||8.1.2.2之前的Mitel MiCollab AWV的网络会议组件中存在SQL注入漏洞，由于会话参数的输入验证不足，可能允许未经授权的攻击。成功利用该漏洞可使攻击者从数据库中提取敏感信息并执行任意脚本。
CVE-2019-19608||8.1.2.2之前的Mitel MiCollab AWV的网络会议组件中存在SQL注入漏洞，由于registeredList.cgi页面的输入验证不足，可能允许未经认证的攻击。成功利用该漏洞可使攻击者从数据库中提取敏感信息并执行任意脚本。
CVE-2019-19609||3.0.0-beta.17.8之前的Strapi框架在管理面板的安装和卸载插件组件中存在远程代码执行漏洞，因为它没有对插件名称进行消毒，攻击者可以注入任意的shell命令，由execa函数执行。
CVE-2019-1961||思科企业NFV基础设施软件（NFVIS）中的一个漏洞可能允许经过验证的远程攻击者在受影响设备的底层操作系统（OS）上读取任意文件。该漏洞是由于通过网络门户上传到图像存储库的焦油包的输入验证不当造成的。攻击者可以通过上传精心制作的tar包和查看生成的日志条目来利用这一漏洞。成功利用后，攻击者可在底层操作系统上读取任意文件。
CVE-2019-19610||在Halvotec RaQuest 10.23.10801.0中发现一个问题。它允许会话固定。在24.2020.20608.0版本中得到修复。
CVE-2019-19611||在Halvotec RaQuest 10.23.10801.0中发现一个问题。其中一个暴露的网络服务允许匿名用户访问连接的用户列表以及每个用户的会话cookie。在10.24.11206.1版中得到修复
CVE-2019-19612||Halvotec RaQuest 10.23.10801.0中发现一个问题。该应用程序的一些功能允许存储跨站脚本（XSS）。在24.2020.20608.0版本中得到修复。
CVE-2019-19613||在Halvotec RaQuest 10.23.10801.0中发现一个问题。管理应用程序的登录页面容易受到开放重定向攻击，允许攻击者在认证后将用户重定向到恶意网站。攻击者需要在同一网络中，在线路上修改受害者的请求。已在24.2020.20608.0版中修复。
CVE-2019-19614||在Halvotec RAQuest 10.23.10801.0中发现一个问题。登录页面存在通配符注入漏洞，允许攻击者列举共享相同密码的用户列表。在10.24.11206.1版中得到修复。
CVE-2019-19615||FreePBX的Backup & Restore模块（v14.0.10.2至v14.0.10.7）存在多个XSS漏洞，如FreePBX管理员网站上的/admin/config.php?display=backup所示。攻击者可以修改备份配置界面的id参数，通过链接嵌入恶意的XSS代码。当其他用户（如管理员）点击该链接时，XSS有效载荷将呈现并在受害用户的账户中执行。
CVE-2019-19616||2017年前用于Microsoft Dynamics NAV的Xtivia Web Time and Expense (WebTE)界面中存在不安全的直接对象引用（IDOR）漏洞，攻击者可以通过为/Home/GetAttachment函数的recId和文件名参数指定任意值来下载任意文件。
CVE-2019-19617||phpMyAdmin在4.9.2之前没有转义某些Git信息，与library/classes/Display/GitRevision.php和library/classes/Footer.php有关。
CVE-2019-19619||domain/section/markdown/markdown.go在3.5.1之前的Documize中错误地处理了不受信任的Markdown内容。这一点已通过添加 bluemonday HTML sanitizer 来解决，以抵御 XSS。
CVE-2019-1962||Cisco NX-OS软件的Cisco Fabric Services组件中的一个漏洞可能允许未经认证的远程攻击者导致进程崩溃，这可能导致受影响系统的拒绝服务（DoS）条件。该漏洞是由于Cisco Fabric Services over IP (CFSoIP)功能在处理TCP数据包时没有进行充分验证。攻击者可通过向受影响设备发送恶意的Cisco Fabric Services TCP数据包来利用该漏洞。成功利用后，攻击者可导致进程崩溃，造成设备重载和DoS条件。注意：有三种分布方法可以为Cisco Fabric Services配置。这个漏洞只影响分配方法CFSoIP，它在默认情况下是禁用的。更多信息请见细节部分。
CVE-2019-19620||在SecureWorks Red Cloak Windows Agent 2.0.7.9之前，本地用户可以通过移除文件的NT AUTHORITY\SYSTEM权限来绕过遥测警报的生成。这仅限于收集进程执行遥测的范围，针对SYSTEM用户被拒绝访问源文件的特定文件的执行。
